Pred_Factor1,Pred_Factor2,Pred_Factor3,Pred_Factor4,Pred_Factor5,FID,Phenotype
0.52492267,0.22836038,0.084946126,0.046745837,0.3850432,HG00537,1
0.64998305,0.25404477,0.05777991,0.027142286,0.46891737,HG00689,1
0.72952664,0.2776878,0.046521246,0.01962328,0.52126336,HG02408,1
0.7642998,0.2839555,0.042288065,0.0167256,0.5402913,HG00595,1
0.6531085,0.24803686,0.057507247,0.026829928,0.46225962,HG00651,1
0.78378475,0.29230458,0.0383946,0.014579594,0.5634781,HG00463,1
0.6621412,0.26016736,0.06070718,0.028665304,0.46069592,NA18967,1
0.54909164,0.22196415,0.07979646,0.04157409,0.3897147,HG01794,1
0.5812168,0.23835969,0.072746485,0.036938757,0.4194801,HG00458,1
0.15091753,0.14316797,0.2552805,0.21846479,0.16759029,HG02379,1
0.8397311,0.31184775,0.028536707,0.009203702,0.62712276,HG00524,1
0.7873347,0.29810077,0.0371446,0.014065772,0.5736387,NA18635,1
0.059880555,0.10909259,0.41956845,0.4259054,0.096839935,NA19081,1
0.44888622,0.2077376,0.09785864,0.058666676,0.3445384,NA18953,1
0.3422435,0.18931669,0.14120078,0.09335366,0.27989882,HG02180,1
0.14693162,0.14022881,0.25155208,0.2167722,0.16757059,NA18579,1
0.8421664,0.31263316,0.028164655,0.008978397,0.63007045,NA19007,1
0.21843892,0.16240865,0.20102337,0.15591758,0.20950949,HG00590,1
0.5316155,0.22680214,0.083028585,0.044530302,0.3889287,HG01815,1
0.6804974,0.2613512,0.05686301,0.025580317,0.4752364,HG02076,1
0.83421636,0.30866176,0.02948752,0.009715289,0.6191207,HG00589,1
0.7985096,0.2911986,0.036133826,0.0131774545,0.5714376,HG00629,1
0.819655,0.30677253,0.031873524,0.011004627,0.60535717,HG02522,1
0.8405952,0.31144732,0.0287489,0.009331316,0.62440073,HG00457,1
0.2071659,0.16391423,0.20958203,0.16960129,0.20297632,NA18949,1
0.19679648,0.15614444,0.21454611,0.17141059,0.1970205,HG02371,1
0.07829189,0.124274164,0.37105533,0.3690182,0.11605716,HG02266,0
0.69951147,0.26941377,0.050370038,0.022466898,0.5021048,NA18961,1
0.84410584,0.31419104,0.027351618,0.0086425245,0.63685745,NA18539,1
0.16823688,0.14472371,0.23095459,0.19111216,0.18090507,NA18646,1
0.28870857,0.17880043,0.16380215,0.11563924,0.24872622,NA18552,1
0.72299254,0.27335143,0.049426913,0.020926744,0.5077354,HG01816,1
0.64560926,0.2521441,0.05994129,0.028655171,0.4597423,HG00708,1
0.8076545,0.29829466,0.03485611,0.0125207305,0.58248806,NA18620,1
0.4383757,0.20577246,0.10047951,0.060962826,0.3388992,NA18571,1
0.6995348,0.26937336,0.055095404,0.024742573,0.4848921,HG00556,1
0.73184013,0.2810967,0.049212098,0.021129668,0.51224947,HG02019,1
0.6140131,0.2502736,0.07157031,0.03569615,0.42859975,HG00608,1
0.75719863,0.2797249,0.043121547,0.01735276,0.53249806,HG01813,1
0.4189427,0.20266858,0.10606015,0.06558803,0.32840383,NA18602,1
0.4250059,0.20348188,0.1095669,0.06574485,0.32760537,NA18611,1
0.7053432,0.26862913,0.052833498,0.022974253,0.49303582,HG00683,1
0.83196294,0.30649966,0.030223757,0.01012975,0.6121421,HG00634,1
0.8428794,0.3136445,0.027529031,0.008746713,0.63532674,HG00437,1
0.814951,0.3095582,0.03258899,0.011526436,0.6039239,HG02182,1
0.37890446,0.19421747,0.12457767,0.0789254,0.3007549,NA18597,1
0.750735,0.29466265,0.046320796,0.019244492,0.5344258,HG01865,1
0.1164844,0.13148052,0.2957335,0.2667196,0.14446187,NA19006,1
0.15847817,0.14949557,0.24442056,0.21095756,0.17525029,NA18985,1
0.47765982,0.22829264,0.1074954,0.06226948,0.3488112,NA18531,1
0.6988306,0.27774993,0.057067662,0.025922775,0.4854264,HG00407,1
0.8196268,0.3097608,0.031965584,0.011139572,0.6066455,HG00956,1
0.008305758,0.080322236,0.7972872,0.8657224,0.03133273,NA18595,1
0.61750877,0.24703544,0.06503919,0.03149742,0.4453793,NA18643,1
0.84949267,0.31815982,0.026510477,0.008069098,0.6460526,HG00684,1
0.6849471,0.27419174,0.059971392,0.027691066,0.47529435,HG00619,1
0.7065252,0.26843244,0.051095843,0.022071213,0.49980628,HG01805,1
0.26708943,0.1920476,0.19591263,0.1450986,0.2378434,HG00717,1
0.5657479,0.23444021,0.075693786,0.039059818,0.41003996,NA18563,1
0.8119978,0.30725858,0.03318733,0.011860937,0.5984522,NA18952,1
0.24386263,0.1680553,0.18099105,0.1393739,0.22350243,HG00406,1
0.31691033,0.17845273,0.14395812,0.09722713,0.26746738,HG01598,1
0.24098858,0.17651314,0.19107059,0.14664137,0.22700202,NA18964,1
0.47954744,0.21411821,0.09722245,0.05588299,0.3503784,HG02164,1
0.8478714,0.31686836,0.027190894,0.008436173,0.6396176,HG02184,1
0.8416151,0.31235632,0.028280765,0.009039849,0.6290934,NA19058,1
0.6908572,0.25796494,0.053765237,0.023343533,0.4834509,NA18621,1
0.2939876,0.17400417,0.15297276,0.10584819,0.2561041,NA19070,1
0.14872277,0.14811108,0.2604826,0.22765014,0.16872534,HG00611,1
0.8401207,0.31191647,0.028602213,0.009249836,0.62634206,HG00704,1
0.7115511,0.26836053,0.050532103,0.021867424,0.49764857,NA18592,1
0.84875023,0.31707692,0.027041882,0.008348465,0.64079666,NA18641,1
0.029735804,0.09382886,0.56852984,0.61612606,0.063482374,HG00428,1
0.7343023,0.27645576,0.04752609,0.019765377,0.516113,HG02386,1
0.80874085,0.3113988,0.03513947,0.01278916,0.591424,NA18628,1
0.3011155,0.17435575,0.14878944,0.10199514,0.25933492,HG00692,1
0.8121938,0.3018297,0.034189045,0.012216836,0.5879472,NA18606,1
0.8424237,0.31588775,0.027893811,0.008842409,0.63490444,HG00654,1
0.3938108,0.19891074,0.11417079,0.07266459,0.31431967,NA19010,1
0.49641287,0.22231954,0.091630965,0.050973505,0.3698027,HG02398,1
0.6717746,0.27302647,0.061420858,0.028231382,0.4750813,HG00698,1
0.8160918,0.30822164,0.032547623,0.011470437,0.6024731,HG02383,1
0.8193087,0.3113004,0.03205681,0.011139631,0.6076605,HG00982,1
0.80864966,0.2963333,0.03382483,0.012098998,0.58614403,NA18605,1
0.84924674,0.31688255,0.02657193,0.008116305,0.6444715,HG00530,1
0.15361285,0.14396977,0.25242305,0.21514738,0.1693702,HG02154,1
0.12117666,0.13719389,0.29935163,0.26938748,0.14941415,HG00500,1
0.004476458,0.06714481,0.86172867,0.92293036,0.020590931,NA18748,1
0.14214957,0.13754255,0.25977737,0.22418725,0.1622402,NA18532,1
0.8137676,0.299527,0.032384783,0.011454374,0.59649163,HG02050,1
0.6266372,0.24973476,0.06620422,0.032337904,0.4397746,NA18965,1
0.3181023,0.18652266,0.14434469,0.10103661,0.26918572,NA19000,1
0.84734845,0.31741795,0.027323425,0.008506507,0.63909477,HG01796,1
0.3625381,0.19616184,0.13016364,0.08622408,0.29111305,NA18560,1
0.038069308,0.10082644,0.5149752,0.55478305,0.074059635,HG01953,0
0.83528006,0.30834508,0.029364347,0.009626567,0.6195324,HG02032,1
0.8352958,0.31267393,0.028782994,0.009357452,0.6275881,HG02130,1
0.16447997,0.14737812,0.2420303,0.20283097,0.17656359,NA19060,1
0.35021234,0.1895405,0.13052309,0.08800644,0.28581595,NA19057,1
0.40407827,0.19831687,0.11285296,0.07022548,0.3163285,HG00464,1
0.056087345,0.10826847,0.43452966,0.44609976,0.09325099,NA18962,1
0.7858628,0.29074216,0.037931293,0.0143227875,0.5627827,HG02407,1
0.059436083,0.108692765,0.4197047,0.42659354,0.09658557,NA19066,1
0.7125335,0.2813051,0.054253936,0.02407372,0.49662897,HG01802,1
0.54049414,0.23225051,0.091474205,0.04902029,0.37846455,HG01597,1
0.83157086,0.31070673,0.030126423,0.010044068,0.6173288,HG02128,1
0.3859878,0.19516554,0.12163699,0.07648179,0.30486727,HG00421,1
0.665497,0.27280167,0.06213367,0.029301524,0.4709943,NA18608,1
0.8435966,0.31404665,0.027415752,0.008679867,0.63638026,NA18633,1
0.7559771,0.27988628,0.042668223,0.016893268,0.53745836,HG00599,1
0.7036176,0.27122074,0.05518213,0.024587423,0.48603332,HG00531,1
0.66974854,0.26642066,0.061417103,0.02905795,0.4657023,HG02384,1
0.8028329,0.29927224,0.03536743,0.012909174,0.5821426,HG02385,1
0.16398457,0.14508563,0.23278722,0.19668809,0.1789355,NA18940,1
0.7968705,0.30068105,0.035586208,0.013249755,0.5819157,HG00657,1
0.8253411,0.31542337,0.031124651,0.010690421,0.6154513,NA19082,1
0.11222282,0.13071397,0.30341405,0.2758386,0.14137647,HG02002,0
0.7952527,0.295321,0.03706208,0.013785183,0.5700549,HG00536,1
0.7189442,0.27633432,0.0474768,0.020587444,0.5159282,NA18972,1
0.049661905,0.1123814,0.47085506,0.4934961,0.08910704,HG01860,1
0.8106078,0.30791014,0.033252954,0.011911303,0.59945667,HG02188,1
0.018198162,0.08932614,0.67867935,0.74329704,0.0479607,NA18557,1
0.84788656,0.3187396,0.026761174,0.008244425,0.6446053,HG01858,1
0.6707552,0.2634923,0.058605134,0.02734834,0.47216436,HG02040,1
0.0040796697,0.06220299,0.87340903,0.929809,0.018116117,NA18530,1
0.20481619,0.15911937,0.21071056,0.16631174,0.20143226,HG00598,1
0.8286429,0.3053785,0.03052646,0.010326713,0.61001307,HG02025,1
0.70279604,0.26858187,0.051683158,0.022636712,0.49647403,HG02133,1
0.05845213,0.10852128,0.42483586,0.43264785,0.09541866,NA19004,1
0.74732774,0.29242468,0.048747092,0.019662261,0.5271039,HG02153,1
0.508783,0.22079033,0.08755401,0.04872957,0.37407762,HG01599,1
0.49238563,0.22183633,0.09430042,0.05410725,0.36122024,NA18596,1
0.80640966,0.31297886,0.03517261,0.012842864,0.5935926,NA18542,1
0.7681746,0.2915726,0.041112274,0.0164226,0.5505746,NA19075,1
0.8494681,0.31782222,0.02678904,0.00823161,0.64320767,NA18987,1
0.13539174,0.13602418,0.26824424,0.23412889,0.15761656,NA18983,1
0.17181024,0.14939076,0.2360748,0.19272828,0.18232816,NA18570,1
0.8437349,0.31408757,0.027823657,0.008814186,0.63330734,HG00632,1
0.81306195,0.30356175,0.033481658,0.011903435,0.5942692,HG00881,1
0.72187245,0.28055084,0.05078429,0.021720469,0.5091842,HG02137,1
0.14823312,0.14245382,0.25841457,0.22197473,0.165797,HG00476,1
0.6928292,0.27890253,0.06015587,0.026716053,0.48180932,HG02394,1
0.071394265,0.12483105,0.39162302,0.3960641,0.11155233,NA19732,0
0.63837576,0.24960232,0.064679235,0.030700833,0.4450457,HG01871,1
0.80491,0.30514944,0.034267455,0.012429595,0.59223425,HG02179,1
